tree.species;species.code.bodelschwingh;logging.method;value.level;a;b;c;d;e
alder;421;combined;1;2,09E-05;-3,83E-03;0,218856062;-3,771481319;59,37067366
alder;421;combined;2;7,37E-05;-9,73E-03;0,398912818;-4,699880972;54,71725471
alder;421;combined;3;5,00E-06;-1,40E-03;0,090967882;-1,588629524;48,38219858
alder;421;harvester;1;3,02E-05;-4,29E-03;2,22E-01;-3,6888;58,5498
alder;421;harvester;2;-5,82E-06;5,33E-03;-1,53E-01;2,13;28,8888
alder;421;harvester;3;-4,30E-05;3,85E-03;-1,07E-01;1,4414;32,6243
alder;421;manually;1;1,59E-05;-3,06E-03;1,77E-01;-2,8749;53,6275
alder;421;manually;2;7,34E-06;-1,78E-03;1,15E-01;-1,9152;49,6016
alder;421;manually;3;6,14E-06;-1,54E-03;9,70E-02;-1,6861;49,0002
ash;311;combined;1;3,32E-06;-1,08E-03;0,098240408;-2,055580218;55,70459493
ash;311;combined;2;3,53E-06;-9,20E-04;0,075839934;-1,483423482;51,92516702
ash;311;combined;3;1,51E-06;-3,66E-04;0,030639305;-0,487470216;45,53779216
ash;311;harvester;1;4,64E-05;-4,24E-03;1,65E-01;-2,4106;54,8231
ash;311;harvester;2;4,08E-06;-2,75E-04;2,93E-02;-0,5058;45,8119
ash;311;harvester;3;-6,22E-06;5,77E-04;-6,09E-03;0,0623;42,8217
ash;311;manually;1;3,30E-06;-1,03E-03;9,17E-02;-1,8181;53,7629
ash;311;manually;2;1,97E-06;-6,15E-04;5,48E-02;-0,8936;46,6284
ash;311;manually;3;-7,43E-07;4,07E-05;4,70E-03;0,1919;39,5766
beech;211;combined;1;8,24E-07;-2,71E-04;0,023869979;-0,311053756;46,71448972
beech;211;combined;2;1,11E-08;-5,63E-05;0,0060811;0,111859494;43,41069768
beech;211;combined;3;6,01E-07;-1,53E-04;0,011657256;-0,134044174;45,35887721
beech;211;harvester;1;1,03E-05;-1,05E-03;4,77E-02;-0,6382;48,3782
beech;211;harvester;2;-1,10E-06;-1,96E-04;2,27E-02;-0,334;46,7103
beech;211;harvester;3;5,67E-06;-6,85E-04;3,25E-02;-0,4809;47,3451
beech;211;manually;1;-9,08E-08;-8,30E-05;1,01E-02;0,108;42,3088
beech;211;manually;2;-1,79E-06;3,07E-04;-1,98E-02;0,8716;35,8232
beech;211;manually;3;-1,98E-07;1,46E-05;-1,03E-03;0,2717;40,7377
birch;410;combined;1;-9,73E-05;8,62E-03;-0,081511999;-6,358728937;105,1537012
birch;410;combined;2;7,29E-06;-1,35E-03;0,075825418;-1,341929346;43,39316879
birch;410;combined;3;-1,03E-06;1,50E-04;-0,007747294;0,166485724;34,98436353
birch;410;harvester;1;-2,54E-05;-2,18E-03;-5,52E-02;0,6949;32,9993
birch;410;harvester;2;-1,33E-05;9,02E-04;-9,87E-03;-0,0195;36,4802
birch;410;harvester;3;2,95E-06;-2,83E-04;9,05E-03;-0,1026;36,4522
birch;410;manually;1;7,52E-06;-1,33E-03;6,95E-02;-0,9721;39,44
birch;410;manually;2;5,06E-06;-9,47E-04;5,02E-02;-0,6629;37,3706
birch;410;manually;3;-3,85E-06;6,05E-04;-3,42E-02;0,8184;29,2732
Douglas fir;611;combined;1;-7,61E-06;1,55E-03;-0,116284076;4,649391486;4,707413695
Douglas fir;611;combined;2;-9,75E-07;4,04E-04;-0,050822853;2,905445659;18,15372317
Douglas fir;611;combined;3;2,05E-06;-2,24E-04;-0,004689197;1,464836825;27,69297304
Douglas fir;611;harvester;1;-7,15E-06;1,47E-03;-1,11E-01;4,5239;5,6101
Douglas fir;611;harvester;2;-9,71E-07;4,00E-04;-5,00E-02;2,8725;18,4543
Douglas fir;611;harvester;3;1,49E-06;-1,51E-04;-7,24E-03;1,4864;27,712
Douglas fir;611;manually;1;-1,06E-05;2,04E-03;-1,42E-01;5,0965;4,3171
Douglas fir;611;manually;2;-4,13E-06;9,64E-04;-8,58E-02;3,7715;11,6233
Douglas fir;611;manually;3;-1,55E-06;4,38E-04;-4,71E-02;2,5238;20,0625
larch;811;combined;1;-8,50E-06;1,51E-03;-0,096830306;3,691075454;10,61592781
larch;811;combined;2;-1,84E-06;4,94E-04;-0,048085569;2,650615408;17,22596267
larch;811;combined;3;8,45E-07;-6,71E-05;-0,006504299;1,074058831;30,87999684
larch;811;harvester;1;-8,74E-06;1,55E-03;-9,90E-02;3,7367;10,3102
larch;811;harvester;2;-1,66E-06;4,69E-04;-4,69E-02;2,6299;17,3427
larch;811;harvester;3;1,28E-06;-1,22E-04;-4,21E-03;1,04;31,0365
larch;811;manually;1;-7,24E-06;1,29E-03;-8,37E-02;3,3799;12,8255
larch;811;manually;2;-2,06E-06;5,31E-04;-5,04E-02;2,722;16,2558
larch;811;manually;3;1,19E-06;-1,44E-04;-1,50E-03;0,9767;30,6677
oak;110;combined;1;3,93E-06;-2,28E-03;0,261671039;-6,281303351;82,79179138
oak;110;combined;2;-1,62E-06;-5,40E-04;0,096680462;-2,108979109;52,62985
oak;110;combined;3;3,65E-06;-1,06E-03;0,092564181;-1,811410308;50,44923861
oak;110;harvester;1;1,14E-04;-7,58E-03;2,37E-01;-2,9221;52,4841
oak;110;harvester;2;1,36E-05;3,75E-04;-2,33E-02;0,8485;32,4738
oak;110;harvester;3;-1,76E-05;2,36E-03;-6,93E-02;1,0427;34,2001
oak;110;manually;1;5,49E-06;-2,49E-03;2,68E-01;-6,1625;78,4524
oak;110;manually;2;-2,04E-06;-4,11E-04;8,38E-02;-1,6036;46,2992
oak;110;manually;3;1,06E-06;-5,14E-04;5,14E-02;-0,5287;36,8631
pine;711;combined;1;-5,21E-06;8,55E-04;-0,056893813;2,497486049;17,42643703
pine;711;combined;2;-2,20E-06;4,98E-04;-0,045712584;2,30998093;17,62372589
pine;711;combined;3;-2,90E-06;5,86E-04;-0,046684712;2,005369834;22,82975547
pine;711;harvester;1;-4,92E-06;8,13E-04;-5,51E-02;2,4656;17,619
pine;711;harvester;2;-2,19E-06;4,93E-04;-4,52E-02;2,2969;17,7179
pine;711;harvester;3;-3,35E-06;6,69E-04;-5,20E-02;2,1283;21,9715
pine;711;manually;1;-6,34E-06;1,06E-03;-7,00E-02;2,8492;14,3302
pine;711;manually;2;-3,13E-06;6,78E-04;-5,82E-02;2,679;13,6062
pine;711;manually;3;-7,04E-07;2,38E-04;-2,87E-02;1,704;23,3212
poplar;430;combined;1;1,05E-05;-1,73E-03;0,090269709;-1,252808074;31,56613681
poplar;430;combined;2;1,16E-05;-1,85E-03;0,093687631;-1,274754718;31,57387556
poplar;430;combined;3;9,32E-06;-1,50E-03;0,076865746;-1,10963846;31,25622855
poplar;430;harvester;1;1,83E-06;-1,32E-03;9,23E-02;-1,5341;34,1703
poplar;430;harvester;2;4,05E-06;-1,48E-03;9,52E-02;-1,5357;34,0699
poplar;430;harvester;3;-1,77E-06;-4,56E-04;4,48E-02;-0,748;30,0361
poplar;430;manually;1;6,94E-06;-1,12E-03;5,35E-02;-0,3838;25,3381
poplar;430;manually;2;6,99E-06;-1,06E-03;4,58E-02;-0,132;23,273
poplar;430;manually;3;6,41E-06;-1,00E-03;4,70E-02;-0,4123;26,4238
spruce;511;combined;1;-6,12E-06;1,44E-03;-0,126885732;5,366781508;-1,393838778
spruce;511;combined;2;2,21E-06;-2,67E-05;-0,038063692;2,980154791;19,60207317
spruce;511;combined;3;-1,79E-06;5,72E-04;-0,065310149;3,307166495;13,81961881
spruce;511;harvester;1;-7,11E-06;1,60E-03;-1,36E-01;5,5442;-2,4669
spruce;511;harvester;2;2,57E-06;-8,37E-05;-3,52E-02;2,9212;19,9948
spruce;511;harvester;3;-2,42E-06;6,60E-04;-6,92E-02;3,3834;13,3125
spruce;511;manually;1;-3,81E-06;1,02E-03;-9,89E-02;4,5039;10,2137
spruce;511;manually;2;1,31E-06;1,08E-04;-4,39E-02;3,0224;21,0919
spruce;511;manually;3;4,51E-07;2,08E-04;-4,59E-02;2,9486;14,0121
